OBJECTID,Field1,precinct,X,Y,black,blackpct,white,whitepct,black_edudiff,black_edudiff_se,white_edudiff,white_edudiff_se,edu_dif,pop18,coef_linquad_white,coef_quad_white,coef_lin_white,sig_linquad_white,sig_quad_white,sig_lin_white,fscore_white,fscore_sig_white,coef_linquad_black,coef_quad_black,coef_lin_black,sig_linquad_black,sig_quad_black,sig_lin_black,fscore_black,fscore_sig_black,coef_all_lin,coef_all_linquad,in_elipse
-1,1,0200001A,-118.160799955490006,34.207453265578600,400,0.345423143350604,598,0.516407599309154,0.052324989613226,7.198553707258290,-0.037588466788434,9.375060551324211,-0.000286424618769,1158,-0.013440643126148,0.000748542190139,-0.008321108462063,0.232080899764737,0.646704973165025,0.000000000206910,20.547470554772499,0.000000001528211,-0.027718594963824,0.003541092088284,-0.004577130994958,0.001391140917896,0.007057896465538,0.000084556563915,11.432065911003299,0.000011714865051,-0.020111432770187,-0.017006342260351,0
-1,2,0200003A,-118.151817609755994,34.199435836441900,493,0.672578444747613,169,0.230559345156890,-0.026741954010298,11.936759315759700,-0.048168437965048,4.652236646783960,-0.034388832141641,733,-0.008910777488390,0.000125042036085,-0.008063302881552,0.434465976515659,0.940339508987586,0.000000001238644,18.656055828216999,0.000000009700779,-0.028246149949495,0.003651545083819,-0.004657654994624,0.001104888655878,0.005945431960985,0.000069037909171,11.782879133368100,0.000008288314806,-0.020085637192894,-0.015787788634972,0
-1,3,0200005A,-118.144954679749006,34.202825777080101,394,0.553370786516854,259,0.363764044943820,0.001994939160264,8.148208770903819,-0.047183714665692,5.392215469878650,-0.018156951518581,712,-0.007916400144630,-0.000011018558416,-0.007992498835775,0.497529512080801,0.994762754528957,0.000000001884516,18.235329859870401,0.000000014641425,-0.028784949580611,0.003662516175129,-0.004662416061079,0.001130751515995,0.005890251515790,0.000069137683522,11.790018513307400,0.000008230168479,-0.020015357845532,-0.014810281863939,0
-1,4,0200009A,-118.156972883627006,34.192693573748301,595,0.650984682713348,135,0.147702407002188,0.005488514187901,11.091360473041400,0.008808817982126,4.011091462132030,0.007430830039526,914,-0.008500107060515,0.000067113173284,-0.008056850398085,0.445314364967843,0.968022438945290,0.000000001370637,18.553143037177900,0.000000010728244,-0.027747102511316,0.003670199469124,-0.004677775930674,0.001009477666178,0.005754618448147,0.000064667754321,11.875448565205801,0.000007565269954,-0.020156086919723,-0.016400247555534,0
-1,5,0200011A,-118.154454608961004,34.195574507128299,580,0.697115384615385,115,0.138221153846154,0.042337325967944,13.522951521212700,0.011406443749189,4.138320076849130,0.037866658127322,832,-0.008587532074185,0.000079849402035,-0.008054015957919,0.445644285272330,0.961940829853706,0.000000001359353,18.561719234866601,0.000000010638610,-0.027981533307533,0.003663664861126,-0.004670159479537,0.001048037862157,0.005824465898611,0.000066371559833,11.839459066504300,0.000007838555001,-0.020122646683662,-0.016090135282893,0
-1,6,0200013A,-118.149680133333007,34.192194266666696,519,0.610588235294118,166,0.195294117647059,0.024072320356343,11.000628919182100,0.010824055315110,4.909275758134700,0.018633540372671,850,-0.006272377222262,-0.000246442752827,-0.007915492756805,0.580831758412026,0.884192111204843,0.000000003306602,17.686949670180802,0.000000025045843,-0.028217836650366,0.003707095204251,-0.004705513096690,0.000969660590409,0.005495591631137,0.000060961462019,11.974255984685700,0.000006863032352,-0.020089206907404,-0.015218940020199,0
-1,7,0200014A,-118.161532017241001,34.189683807210002,482,0.585662211421628,127,0.154313487241798,0.058782854315686,10.103919891507100,0.052324254650026,4.456199860740480,0.052831528492810,823,-0.008950896828675,0.000131491826809,-0.008095459878206,0.413619353791851,0.937258726102852,0.000000001103490,18.771488033846300,0.000000008665069,-0.027366170312139,0.003666530988441,-0.004678677705571,0.000982874878424,0.005767629832275,0.000063890757123,11.884983140229300,0.000007494481672,-0.020208761419087,-0.016996141427047,0
-1,8,0200015A,-118.165980659091005,34.188279209790203,507,0.781201848998459,61,0.093990755007704,0.048874195324762,17.235439417285299,0.011158374698108,4.164267218392520,0.042598729632698,649,-0.009805847300892,0.000256186080560,-0.008156725783523,0.363410704048461,0.877588708863384,0.000000000754280,19.159796548075899,0.000000005927486,-0.027014826634514,0.003650106398553,-0.004669701720188,0.000991582202388,0.005905635632026,0.000064881599402,11.848589077834699,0.000007768304754,-0.020252302786860,-0.017562805484779,0
-1,9,0200017A,-118.156285351744003,34.185545143895297,523,0.535312180143296,79,0.080859774820880,0.067285690027853,8.119182974950951,0.013431535129431,4.199925053226830,0.056013986013986,977,-0.006287421820914,-0.000253780288011,-0.007932441056184,0.569408442310155,0.880802394995753,0.000000003165665,17.730891315643099,0.000000023990963,-0.027637425288888,0.003721945540945,-0.004722361780456,0.000883009003294,0.005331343402297,0.000057390144458,12.060025312263400,0.000006306587740,-0.020177168075856,-0.016114345137823,0
-1,10,0200018A,-118.152795638146003,34.185478226381498,536,0.548057259713701,119,0.121676891615542,0.053944658559797,8.884574575334460,0.010429591053544,3.991843034976580,0.034032438478747,978,-0.005244804346273,-0.000402053616083,-0.007864411029028,0.638410334917867,0.813108102162574,0.000000004764853,17.341719390860298,0.000000035123067,-0.027854529988466,0.003736531513331,-0.004734042599362,0.000874330474825,0.005249031208048,0.000056065550683,12.096717658958600,0.000006082554036,-0.020140507134258,-0.015509575871867,0
